Class Index,Title,Description
3,-,"Small neighborhood tavern, not updated but neat old character. Always bring in bands which makes this a nice place to kick back have a few beers and listen to live music."
5,-,"Go here, eat the chicken, be happy!!!    BYOB"
4,-,Beautiful place to visit
5,-,Love it. Bourbon on tap
3,-,Simple order green tea frozen. Yum
3,-,Just a quick stop in for some dog treats.
2,-,Mmm butter chicken
7,-,"Beer selection was ok, food was fine but nothing special."
6,-,Need a little makeover
6,-,"A different hot dog, not Vienna. 3 locations"
5,-,"Pretentious crowd, staff was top notch, not my jam, try it for yourself though"
1,-,Short on inventory and cant reprint receipts
5,-,"Oldest German Bar who brought many styles to America first. Huuuuge pretzels, GREAT SAUSAG and schnitzels"
3,-,Good food and great views overlooking the river.
9,-,"Extremely friendly staff, very clean facilities, great food, good drink specials."
1,-,It was good for what it was
6,-,What a menu. Selection and quality of polish \ korean food.  Great for sampleing and sharing.  So many things you must come back.
5,-,Good beers and food that stands out in the area.
6,-,A good coffee shop.
3,-,Had the build a burger option with a side of augratin potatos. Burger was way overcooked.
8,-,"Good beer line up.  Great burgers.  The only bummers are that it's on the smaller side, and the kitchen is open to the dining room, so sometimes you leave this place smelling like a burger.  Warning:  They play LOUD METAL."
7,-,Good turkey sandwiches.
4,-,Enjoyed as usual
3,-,"Stopped in to grab a take and bake pizza. They had two specials a vegetable or meat lovers. They let me do half and half, perfect for the wife and I. Pizza is thin crust baked on the tray it's made on. It was excellent."
4,-,The food was great and fast for lunch time
3,-,What's not to like about being in a park enjoying a beautiful day.
3,-,"I understand  its a fairly new place and I hope they get thing under control soon. I have to honestly say I wouldn't eat here again. I ordered the rib tips and wow, they were way to salty. Even putting the BBQ sauces didn't help. I would much rather drive to Dwight, IL and eat at Cherry 🍒 Roasters BBQ.  Sad because I was excited to see them open,  that changed as soon as I tatsed the food. Sorry, but just being honest."
7,-,"Good thin crust, but not quite on par with some of the tavern style cracker crusts at a few places in the city."
3,-,"This place is phenomenal,  great equipment, well organized,  staff is very knowledgeable and helpful. Has a nice selection of fitness clothing and supplements available.  One of the best gyms I've visited. Highly recommended if your looking for a high quality gym."
6,-,"Very good. The advantages of Chicago Restaurant Week, when you get to try restaurants more abundantly and relatively less expensive.  The menu is about german food preoared with alittle twist. The pork chacuterie was stupendous. Spaetzle was excellent. Schnitzel was crispy and tender.   Will ve back"
9,-,"Cool spot, huge bar, tons of seating! Cool spot downtown."
5,-,Best lunch spot for the money
7,-,"Food was OK, nothing special. Had the tamales, plenty large portion, but were too salty. Chips and salsa/guacamole were fine, nothing really stood out. Did not have any if the notoriously strong margaritas."
4,-,They treated me right on my birthday
3,-,Ggetting fuel & a lottery ticket.
8,-,"My favorite beer bar in the loop.  Awesome beer selection, great bartenders, and good food.  If you're downtown, and you're looking for great beer and some food, this is where you go."
3,-,"Nice little head shot, hippie days or looking for that item they probably have it. T shirts oh yes plenty to choose from. Stickers and patches everywhere. Small gifts to incense and burners. Well done folks."
6,-,Neat little stand with outdoor seating and fabulous ice cream and gelato
6,-,An excellent place for higher tier Mexican. Went for brunch and it didnt disappoint
7,-,"Good prices, but the pizza is average. Consistent with other Barnaby's, but not the best thin crust available."
3,-,"1st time here, nice place in downtown Springfield. Staff very friendly. They had a casual side with a few booths and a walk up counter for carry outs. Then the next room is a nice dinning area. 1st impression is good. Seated and given menus, drink orders placed. Menu is nice with the main options being pasta dishes or what appears to be nice hand tossed pizzas. Orders placed, food received. My thoughts as they brought out the salad was they put a lot into a small bowl. The main course looked and tasted really good. As a side note the portion sizes are probably what you should be receiving, a regular size (not large) serving. Food & service was great but not nearly as good as the cannoli cake. Definitely give this place a try."
5,-,"Great food and staff. Ask for Jess, she's a great server"
3,-,"Just stopped for coffee, very good."
7,-,"Selection was fine, but prices were not competitive with other grocery store options."
3,-,Pretty darn good folks. Stopped here for breakfast before the grandkids basketball game. Enjoyed a nice breakfast.
7,-,Cool karaoke bar stuck in time.
7,-,Good service and ingredients seem to be quality but the end result is not that great.
7,-,"Tried a wrap for the first visit. It was fine, pretty typical of other healthy places. The touch screen ordering system looks nice but doesn't really save any time."
6,-,"Atypical in city mall, limited in size but convienant.  PLENTY of shopping in immediate area"
6,-,"An interesting touristy coffee, pastry, sandwich shop that has good products"
3,-,"It's McDonald's, can't go wrong with the egg McMuffin"
6,-,"A real hidden gem. Scallops are the thing to get and jessie, the bartender,  is an artist"
2,-,Awesome vibe here and good craftsmanship by the barbers!
6,-,"Good for Starbucks. Good room, the latest in prepared food options and good views"
1,-,Had a blast .
3,-,"Quite favorful, however the soup had to be sent back as it was not hot. If not for that would have been a 4 star lunch.

7-27-17
Dinner with mom and wife. I had the sirloin garlic butter steak ordered medium rare. With mashed redskin potatoes and broccoli.  Potatoes good, broccoli was cooked to the point where it still has some crunch (good) however the steak was very thin and completely overcooked to almost medium well (No pink). Its about 5:00pm and in our section there was only one other table with four people. No reason at all to overcook a steak."
4,-,The last place to get liquor before you get to the casino
6,-,"A genuinely good Chinese restaurant, that gets little  press but deserves it. I am constantly looking for its mention in top 20 lists, where it clearly belongs. Dishes are made with flair and style. Has added an interesting concept Bento box, a mix of 4 or 5 small portions for a very reasonable price.  Very attractive  space.  Took 3 others, who are very picky, and they had a great time. Go"
8,-,"They had what I was looking for and the young lady working there was nice, but the computer was malfunctioning, so I wasn't able to use my Game stop points.  This means I paid more than I should have."
6,-,Good Subs. This is a place to go
8,-,I like this place a lot.  Nicest dive bar ever!
8,-,Wouldn't let us rent with a debit card because we were local.
6,-,"A ""Food court"" made up of only two restaurants Mexican and Asian. Neither one of them is particularly special when there are plenty of downtown choices"
3,-,"This store recently opened in the Sangamon Center.  Store is clean, bright isles clear from front to back of the store. Staff seems friendly and helpful. Needed addition to the north side of Springfield. Welcome and good luck."
5,-,It makes hangovers disappear
2,-,So happy this opened in the bucktown area!!
3,-,Lots of very pricey stuff here. Noticed the handgun counter was empty.
7,-,"One of the better deep dish pizzas in the city, I have slowly changed my attitude on this place. Crust is really good."
6,-,"A traditional burgrt joint. Limited menu, but lots of style"
3,-,Quick trip to update navigation maps
7,-,Awesome Italian sandwiches available to go.  Fresh bread baked on site.
3,-,Stopped in to pick up a picture frame. Nice place great staff.
8,-,"Beer line up isn't very good, but the food's ok.  Why does it have to be so loud in there?  Even if they have a game on, the volume is so jacked everyone has to yell!  Most of the staff is ok, but once one I was there the bartender was HAMMERED."
7,-,"Good thin crust, Neapolitan style pizza. A little more chewy than Coalfire for example, but definitely worth checking out."
9,-,"Great pizza! The stuffed meatloaf was very good, minus the cheese stuffed section. Great service, very friendly staff."
8,-,"The food is super tasty, and it feels like I'm in the future when I order food here.  Credit card only."
8,-,I love Marshall's.
6,-,All colectivo are comfort worthy and the coffee is first rate.
1,-,Portions are smaller then they use to be .
4,-,Nice facility but everything was too high priced
6,-,Good place for a burger in the neighborhood
6,-,"An average coffee shop. Would go again, but for convenience rather than being drawn there"
3,-,Good hometown diner. Food priced reasonably.
3,-,Lots of cool stuff to browse
6,-,A multiscreen theater with an arcade inside for the youn ger crowd
9,-,"Great bar, friendly staff, great food (with daily specials), large covered outdoor area, large parking area. Also has a large, seperate dinning room, if you want dinner without the bar crowd! Always had a great time at this bar!"
6,-,"One of two tiki spots well known of Paul McGee, the drink architect of Chicago.  A real non discripte spot, but inside a transformative change a real nicely lit tiki room. Every regular and special tiki drinks. This and three dots and a dash are the spaces in chicago"
7,-,"Awesome selection, best inventory in the city."
7,-,Good gelato and creative flavors.
5,-,Great drinks and food. Staff is well trained and friendly
3,-,Outdoor space for concerts is way too small. People are crowded into a small space between the building and a parking ramp. Whoever thought this was a good idea should be replaced.
7,-,"Store is fine, you can get the same phrase in an infinite variety of shapes and colors if that's your thing."
3,-,"First I have to tell you I absolutely love think crust pizza. Do this is our first trip with another couple to eat at the Handlebar. Walking inside the place was very neat inviting, it has a theme of bicycles and related items. there are televisions located on the walls throughout the bar obviously today was a sports day thanks enjoying football games. We were taken to a table in the middle of the bar area centrally located amongst all the television so we had a great view for anybody that was sitting at the table. The owners were there greeting us friendly place that had beer special 5 for $10 we ordered that while we looked at the menu. We ordered two different thing crust pizzas and a appetizer of their homemade hand battered onion rings.enjoying a couple beers watching the game having a snack waiting on the pizza the pizza arrived and they looked phenomenal.navigate to say I was totally impressed that their thin crust we had a very nice crispy texture to it the flavoring was excellent on the pizza everyone enjoy them. I have to say the food in the quality is quite High we will be making numerous return trips I suggest if you're in the area give them a try."
5,-,Amazing staff who will help you through the menu. Drinks are great too
4,-,These ribs are some of the best in town
2,-,"Best coffee in Chicago, this is the main toaster where I believe they do coffee classes and such, but there is really only places to sit outside. The star lounge bar just around the corner has much more seating if you plan to hangout for a bit"
4,-,Oh Wow what a wide variety of products to choose from
6,-,A typical Chicago street fair.  Celebrating Mexican Heritage.  Skip the food and eat in the neighborhood
5,-,"Quiet, spacious, perfect"
5,-,"They pour a good brand of coffee, I'll keep returning"
3,-,"Enjoyed the Stuffed Potato Pancakes. Eggs, peppers, bacon, cheddar cheese & avocado. This was really a breakfast for two size serving. Damm good. Waitress Carrie was phenomenal."
5,-,Where I go to get cleaned up before performing on stage. Worth it
5,-,Good bar to unwind at
7,-,"Will need to try some additional dishes, but the soup and rolls I tried were not good. The Thai food is sub-par as well."
4,-,"I was there for a funeral, it was a beautiful place"
1,-,Great service . Very knowledgeable.  Helpfull and prices were very competitive.
8,-,"They have all the Vans, and the staff is friendly and helpful."
1,-,Helpfully but expensive
4,-,Great prices on everything
6,-,"A genuine spot. It's like a country club for 40 years and under. An atmosphere of a private club with wine the star attraction. The food isnt rave worthy, but it's better than most gastropubs and a wide selection. The wine is very good with tasting if your trying out. A very wide selection of types by Coopers Hawk and some that arnt. Very reasonably priced particularly by the glass. Everything is available either takeout or at the retail stores.The seatiareas are very attractive.  A lot of TLC went into this flagship  membership options are very reasonable"
7,-,"After going to Cruz Blanca a handful of times over the last year had a chance to finally check out Lena Brava. The prices seem a bit steep, but several of the dishes were outstanding including the octopus and plantains."
1,-,Very nice lanes ! Service and drink prices meh .
7,-,Cool gallery focusing on street art.
4,-,Loved the ambiance
7,-,"Bacon date and goat cheese was very tasty, will keep an eye out for the food truck in the future."
7,-,Good micheladas and the queso is awesome. Portions are a bit small for the prices.
8,-,Best prices in town for everything computers.  TVs too!
8,-,"Pretty good beer line up.  The menu is pretty legit Cajun and Creole.  The cocktails all have a NOLA influence.  The bartenders are all great.  If your looking for some good Cajun, definitely check this place out."
5,-,Good food. Drink selection seemed nice
6,-,A reliable tapas place with some good dishes prepared well. One of the older lettuce entertain you restaurants. Good bar and brunch
4,-,It was so good I eat four pieces
7,-,"Good food, large portions."
7,-,Service was slow despite the fact maybe five tables were taken. Didn't offer glasses for beer. Food was average.
3,-,"Absoutely a must stop location to put you in a good Christmas mood. Plenty of great gift shops to find something special for anyone.  Prices range from inexpensive to high end expensive items. Additionally offered is a great selection of hot and cold traditional drinks, fresh baked items and a wonderful selection of  authentic German style foods. It does get. Crowded in there however people are quite used to the crowds a d it's stl an enjoyable time."
4,-,Good as I remember back in the day
3,-,Grabbing a coffee.
5,-,Great pub for drinks
9,-,"Great spot! Huge indoor and outdoor fields! Great staff! Amazing fun! You have to try it! Games for all ages! Laser tag, low impact, bows, full on paintball!!!"
5,-,Waiting 30 minutes for a test drive while a rep gets keys is a bit unprofessional. Also hard sells aren't for everyone
6,-,A full service bookstore with coffee
8,-,Kitchen open SUPER late.  Good beer selection for a 4am.
3,-,"Very interesting place, while visiting we enjoyed their Cristkindlmart. A lot of fun and good food available. Definitely worth the time and effort to stop in and join the fun."
5,-,Cash only and magical hangover cures. Get the torta
1,-,Awesome owner but not what it use to be
3,-,Seafood lasanga covered in a Portabella mushroom sauce. The sauce has a very rich flavor. Served with a Caesar salad. Great dinner
6,-,"A GREAT PARK, ON OF CHICAGO'S JEWELS. The conservatory is truly special"
3,-,"Maybe I'm missing something? No extraordinary flavor burst, no wow this is really good. Thought it was good however nothing stuck out like I really need to go back sometime. Probably won't."
8,-,My second favorite spot for deep dish in the city.  Beer line up is ok.  They're lunch special during the week might be the best deal in town.
4,-,Fresh and hot food
1,-,For a dmv it wasn't bad
3,-,"Something for everyone interested in photography.  From the beginner to the pro there is an abundance of photographic selections. Cameras for every level, lighting and backgrounds to books. Tripods and light stands and a studio on location."
5,-,If you are from the suburbs and want to go to the Ricketts country club this is your place
5,-,"Great bang for your buck and it's been around for years for a few reasons, try it if you're in the area and hungry."
6,-,"Good place to see a movie that is not an, so sometimes different movies. Good restaurants in neighborhood"
7,-,"Decent selection of beer, but the food is just not good at all. And this is with low expectations of bar food. Still a fun place to have a few pints."
4,-,Great down home lounge. Music people and fun
3,-,"Freshly made toasted sandwiches, home style cut fries. Good food!"
2,-,Randomly stopped in here for a bachelor party for a shot (this is not something you should do at a restaurant like this) but the staff was fine with it! Will update my review once I actually eat here 😝
8,-,"My second favorite beer bar in the area, and 4th favorite in the whole city."
3,-,"Candy, candy and more candy. Perfect little shop to spend my money in. Stop in you wont be disappointed."
5,-,Loved it. Friendly staff
6,-,Iconic
7,-,"Very cool that the entire neighborhood has been restored to the original condition, gives a much better sense of the surroundings at the time."
7,-,"Wicker Park diner with a mix of American diner and Mexican dishes, definitely a good variety. The 'bowl', which doesn't come in a bowl, was quite good. Choice of meat with rice, beans, and plantains. Good prices and very friendly service."
3,-,We had or pet treated here to help support their contributions to saving pets. Nice facility and staff. Easy process  to follow for spaying pets. Really like this place and have made a few adoptions here all which worked out perfectly.
3,-,"Just checked out their menu, haven't tried anything yet."
6,-,Alright but nothing special. Will try it after the soft opening
3,-,"It's Illinois State Fair time and because of the States decision to cancel the fair, this business/owner decided to at least bring some of the fair to Springfield. I applaud Don Thompson for his efforts of providing an outlet to the fair. Stop by have something to eat, enjoy a drink, listen to some live music and on the way out buy some freshly made taffy."
3,-,Went in looking for a non stick skillet. Found one.
6,-,Excellent Chinese restaurant.  A SIMPLE place with great chinese food.  sichuanese greens beans are my go to and these were wonderful  along with salt and pepper shrimp. Good atmosphere with no pl pretension. Recommend
4,-,Everything is well prepared and fresh I believe the best in town
9,-,"Awesome spot! HUGE, absolutely HUVE outdoor area!!! Very friendly staff, out door: stage, bar, pavilion, volley ball pits, bocce ball, horse shoe, fire pit, play ground... great drink prices, full kitchen!"
1,-,Smaller one they have but nice and nice staff
7,-,"Decent sandwiches, not really distinguished from corner bakery/cosi etc."
7,-,"Some of the store are fine, and Latinicity is nice, but the layout is odd and not very easy to navigate."
4,-,This is where I get all my meds
7,-,Well done fresh chicken and sides. Despite the line the service was quick.
3,-,Met with Mark Underwood and Jeff Kunz to talk about a second vehicle. They discussed their current inventory which did not fit my need. I left Information with them on my preference of vehicles I was interested in. The next day they took a trade on exactly what I was looking for. Great experience I highly recommend Landmark Ford based on the excellent service I received.
8,-,"My favorite bbq joint in Chicago.  Brisket so tender, you don't even need a knife, and the hot links are delicious.  All the sides are SUPER tasty as well. The beer and cocktail line up is great.  I wish I could here every day."
6,-,"Very upsetting.  There are enough Italian restaurants in chicago that this one out not to exist. 200 dollars for lunch when the salad was no better than fast food, the carbonara was bland and they had to asked for parmesan and the meatballs were average by vapanios standards.  The restaurant week lunch was 48 versus 34.  It was inexcusable."
4,-,Real nice facility
9,-,Worst car lot it town
4,-,They have everything you need
4,-,They had some great deals
7,-,"Nice atmosphere, but the food is average at best."
7,-,"The pita sandwich was a little small, but tasted fine. Lentil soup was too salty."
6,-,An eclectic local chain without an obvious plan.  Good for a change
7,-,"Had goat stew with rice, beans, and plaintains. Meat was tender and flavorful, the plaintains were fantastic."
1,-,Always good to us
7,-,"Nice designs, but if you look close you can see the items are not made well. Materials and construction are poor."
4,-,Very clean
2,-,Wow the beer here is amazing and the shareable plates are awesome!!
6,-,"Been before, so this is a check up.  The chicken and shrimp dishes looked outstanding.  This is a gem, not really hidden because Michelin kmknows about it.  Down the block from lost lake so make a night of it."
2,-,Awesome coffee shop with great service right in the heart of wicker park!!
6,-,"Good american gastro pub. Very large selection of beers and sandwiches, each with a twist. I had a turkey club with mango chutney, avacado and onions on challah. Has an assortment of burgers, salads, chicken, turkey, beef, pork and vegetarian  wide chices among the beers and wines"
3,-,After doing business here for several years I can suggest this as a place you need to check out if your in need of a camera or photography gear.
7,-,"Good salads, fresh ingredients, good service."
1,-,Staff is amazing tour is amazing prices amazing
3,-,"Nice place, friendly staff, clean in appearance. Breakfast bar."
3,-,Great selection of fresh coffees and whole beans. Place has about ever essential thing you need to make a good cup of real coffee.
3,-,"Very scary place, people are insane thinking they are digging out treasure"
3,-,"Not sure how to rate this place? As I was walking in a customer was exiting. His comment I wouldn't. Stepping inside and it's 12:30pm and there a 4 people in here makes me question it. I decided not to try it and left based on these two indicators. Not saying it's bad, I never took the chance to try it."
3,-,Quick grocery shopping trip
7,-,"If you like spicy dishes, this is a great place to try, otherwise it will not be enjoyable.  Everything is covered in red chilis."
1,-,Had a tough time getting help with flowers but l like it
7,-,"Helpful staff, nice gear."
4,-,Good prices and service
6,-,Sugar goat is her new bakery.  The selection was a little limited as is the space. Got a pecan pie and a peppermint cupcake.
7,-,Great tacos and entrees. Gets loud (and fun) at night when they have dancing and karaoke.
6,-,I like the new field. Its a cross between very modern and very old. I think it works
3,-,"Had the crab portobello mushroom fettuccine.    Very rich and creamy. Lover it.  Also tried the  Pizza, spot on delicious ricotta and portobello and a very flavorful sauce."
7,-,"Good selection of cuisine and drinks. Logistics can be tough when crowded to find a seat or get by people in line. Overall pretty good, but the biggest issue is how loud it is. Very difficult to have a normal conversation. It's not a club, the music doesn't add anything, I don't get it."
7,-,Nice place to relax or work.
3,-,"Great place for a coffee and sandwich. Not its located across from a Starbucks however Colectivo steals all the customers,  its that much better."
7,-,Good selection and helpful staff. Sara was great to work with.
7,-,"Not a dive bar, but cheap and it has character. Crowd ranges in age pretty widely. Two pool tables as well if that's your thing."
9,-,"Great small town bar, recent remodel makes this a very nice place for a couple drinks. They have live music most weekends, pretty decent setup to watch the bands also. Huge parking lot, always room to park, but it is gravel, so have a kickstand coaster if you're on you're bike."
2,-,AmaZing single origin coffee with great views of wicker park
3,-,Totally an excellent chicken sandwich
3,-,Perfect place for your sweet tooth.
4,-,"The shopping was great until the lights went out in the whole mall, wooooww"
3,-,"When my wife wants to go shopping we go shopping. Very nice store and I'm quite sure she will find something, even something she isn't looking for."
7,-,Great venue for concerts.
6,-,There are a limited amount of coffee shops that are destinations and colectivo is one. The settings are comfortable and the coffees are worth buying to take home and make. Good choices of food
3,-,Simply outstanding!
3,-,"It's a nice comfortable place, simple decor and basically an identical menu to Saputo's downtown Springfield. Salad crisp and fresh, bread hit from the warmer and the baked lasagna smothered with mozzarella cheese. Very good dinner tonight. Yes it's worth checking out for a quality meal."
3,-,"Lunch, had the 6 oz mushroom Swiss burger cooked medium. I should have ordered the 8oz it was gone before I knew it. Yum!"
6,-,An old style hot dog stand that specializes in Italian ices
6,-,Great Italian trattoria. Excessively popular and noisy. An excellent bargain
8,-,Beer selection is just ok.  I hate drinking beer out of a plastic cup.  Didn't have any food.  The bartenders were cool.  One of the only bars in Wrigley that are open when the Cubs are out of town.
6,-,A typical taco bell except it serves beer. When you need there food you need their food
2,-,Touristy spot with a fantastic view. The bar area is closed in so even good for winter. I had the cocktail with activated charcoal and it was delicious!
6,-,A very good coffee shop in Bridgeport. A lot of rooms and nooks for spending hours. Typical sekection of coffees and pastries
7,-,Salads can be expensive but variety and quality are very good.
4,-,"Great job, great price"
7,-,Good Cantonese seafood and vegetables.
3,-,Interesting and limited menu. Food was really good. Give this place a try.
6,-,"A good multipurpose place. Great for one or thirty people, watch sports, try beers they have 100 on tap and get foo d.  Thwy have an extensive pub menu.  Yard house comes from the fact you can get a yard of beer"
1,-,It was ok . They are nicer to locals then us tourist
6,-,"Good sweet shop. Primarily for tourists, because of their prices."
3,-,Don't know much about the Illinois building but on the ground floor it has a Subway sub shop and Cold Stone ice cream shop.
5,-,"Good place, good room service and bar"
7,-,"Get the nachos (the big one, not the cheese/chips). Even if the on field action isn't great, you will be happy with the food."
9,-,It's Walmart
6,-,An Americans idea of Chinese.  Well known
6,-,The best sandwiches in Chicago (Evanston) PERIOD
5,-,Couldn't get in. Looked cool
4,-,They had everything I wanted
7,-,Good selection of salads with fresh ingredients.
3,-,Attended a Christmas party with the grandkids. They had a great time. Nice facility for kids.
3,-,Wasn't impressed with prepay.
5,-,Hangover busting food
7,-,"*Note that this is for the lunch spot at 55 E. Adams in the Forum dining hall*.
Hard to tell that I was eating tacos. Extremely sloppy presentation, just a mess of meat and sauce(?) on two not very good store bought tortillas. Very small and not flavorful at all. The salsa with the chips was awful. Would rather get virtually any off the shelf brand than whatever they made or bought. The only thing that wasn't bad were the chips which they thankfully didn't make."
4,-,It was a in and out process with no problems
8,-,Overall experience was ok.  The bartender was great.  The cocktail she made was delicious.  The ramen was kind of meh.
2,-,Great food options in a food hall style environment
7,-,"Great selection of Belgian beers.  Mussels, fries, and the duck reuben are very good."
6,-,"A good pizza place. The real difference is the ""pizza cups"""
7,-,"The restaurant is very cool, ordering through kiosks, table service, wireless chargers, but don't expect different food outside of the very limited 'global favorites'. They were out of the Hong Kong spicy chicken sandwich which seemed to be the item to try. Staff is very friendly."
8,-,I had the peanut butter and bacon burger.  (SSSHHHHH.  SECRET MENU). It was ok.
4,-,Beautiful views
7,-,"Black bean soup was very good, but everything else was average."
3,-,"Very nice addition to Springfield IL. The food is freshly sourced and prepared as ordered. A very nice selection of menu choices. I choose a pulled pork sandwich which has  both slaw and an apple pancake on it with fresh cucumber slice picklesand fresh handcutt fries. My wife hand a wonderful pork burger tipped with a nice white cheese and crispy onions tipping it, served with a side of Cole slaw. I was told Oh My God this is so good. Make this a destination soon. It's was outstanding. Heading back soon to try the breakfast menu."
6,-,"An event space, features art"
7,-,"Good selection, but obviously limited to Half Acre. Mostly hop forward, nothing very heavy. Was invited during a Google event and the Publican provided sausages were phenomenal. Beat I have had."
7,-,"Good selection of wine and beer. More convenient than heading to grocery stores on Halsted. Have not tried out bar yet, but looks like a good place to get a drink and relax. Wines on the shelves need more organization."
6,-,"A great spot by rick bayless.  You can eat at one his restaurants every day and never be bored. This one is eithger a bar hangout or a quick snack or meal. I am partial to the oxacan tlucuda, but every thing is good along with a sampling of one of the 12 or so fresh beers made by them"
3,-,Stopped in for an iced tea
9,-,"Nice spot. Good prices, lots of draft options, small place, cash only"
4,-,If they don't have it I don't know where to find it
7,-,Decent Thai that isn't amazing but hits the spot.
8,-,"Beer line up is solid.  I was here for the Bucktown chili cook off, so I didn't try their food, but this is a cool little neighborhood bar."
7,-,"Wide array of classes, tons of equipment, and a pool.  Very happy I switched from Cardinal."
3,-,"Needed some felt pads, they have them."
7,-,"Service was abysmal, server was not attentive and made several mistakes. Have been going there for over a decade and it was never this poor."
8,-,"Solid beer line up.  Pretty good whiskey selection.  The food was good.  The bar was nice, bartender was cool."
6,-,Food and service was average at Dolce Italian
7,-,"Great location, decent menu."
6,-,"A classic Ny steakhouse which is overlooked in Chicago. All the expected flourishes.  With the Palm you have all ny has to offer.  I think i wouldgo to SW, but will try the Palm to make sure"
8,-,"Great beer list, and delicious burgers.  I like loud metal music, so this place is great for me, but someone who doesn't might not dig this place as much."
2,-,"Huge location, tons of seating with great views of the skyline"
4,-,Good prices
3,-,Great first impression as soon as you walk in. Beautiful restaurant with a unique Asian decor. Nice tables in a comfortable setting. Staff was very friendly and attentive with customers. So many items to choose from making it a challenge to order. Decided on the spring rolls as an appetizer and for my lunch I had the Butter Chicken with Jasmine rice. Food arrived at the table looking amazing in its own unique serving dish. Food was Awesome!
2,-,This place is awesome! Great pool table room with bowling and a nice Chicago corner vibe feel
1,-,Expensive and dark
7,-,Great contrast with the federal buildings.
8,-,"You wouldn't even know from looking at the building that inside is one of the coolest venues in Chicago.  This place is gorgeous, and the magicians are great.  Cocktail line up is very interesting, the beer selection is solid, and the food is delicious.  This is one of the best and most unique entertainment experiences in the city. Take a date here immediately!"
4,-,A great place to shop for the best clothes
4,-,Simply beautiful
1,-,Bartender was nice
3,-,"Had guests from Chicago tonight which we chose Oaska due to the variety and quality of there foods. Being a combo Steakhouse, Sushi Bar, Thai and Hibachi Grill there s mire that ample choices to feed anyone. Happy hour is Monday - Thursday 4:30pm- 6:30pm and offers $4.00 mixed drinks ad $8.00 For their Osaka Style Special Sushi Rolls. The food was excellently presented and was absoutley on point. Dinner was delicious and our guest were very impressed. Recommended without a doubt. You will enjoy a quailty meal. 4 different shusi rools, soup, hot tea and panang curry at $55 for 3 people. Great deal."
3,-,Not really sure I would go again. No wow factor in the flavor. Actually it was kinda boring to eat. Had the Trouble Bubble.
3,-,Just getting some coffee while waiting for the Metra
6,-,Good selection of overpriced candy
3,-,"So much to see and do here. Come enjoy a day walking around looming at exhibits and munching on some food.
2-09-18 I attended a POWERLIFTING event here today put on by Max Barbell Springfield IL.  Had a great time."
4,-,Had a great time installing new keypads
5,-,Great food and staff
5,-,Good dive in Chicago
6,-,A good but not great steakhouse. Very attractive with both good food and good service
5,-,The perfect Chicago dive bar
6,-,"A great ladies clubhouse.  Food is sometimes very good and sometimes average, even on the same plate.  modern american cuisine . A very large patio, which in season becomes very desirable.  Good drink choices.  This is a winner for women and very confident men"
7,-,"Obviously a very spacious space, lots of communal space. Good choice of their own brews and a decent, but limited menu. Prepare for a loooong walk from the entry of the facility to the bew pub."
7,-,Food and service were very good.
9,-,"Decent gyros, friendly staff, quick service. Small parking lot, but interesting dining area, has out door seating, but was shut down for the season at time of visit."
9,-,Amazing tacos and burritos! Will be back to try more of the menu. Great local neighborhood spot.
6,-,One of chicago few cigar clubs. Housed in a historic mansion.
1,-,Better with new owners !
8,-,"Fantastic beer line up, and the food is great.  If you like meat, or more specifically bacon, go here.  Bomb Sandwich, baby!  The bartenders are great.  Anna's the best!"
3,-,"Looking around for a new car. Staff was excellent. Will have to check back, had nothing of interest to me in stock."
7,-,"Huge servings of classic, home style dishes. Get a Wisconsin Manhattan."
6,-,OK sandwich and coffee shop. Good for a change up.
4,-,The kings table was outstanding
8,-,"The food is decent, but they charge too much.  I think 5 bucks for a chili dog is a little ridiculous.  Especially when you have a Taco Bell right next door, where you can get a whole box of garbage food AND a drink for 5 bucks."
6,-,Not Phillys Best. TOO GREASY
3,-,Just finished a nice lunch and took a walk. We found this bakery and of course I just had to buy something.
6,-,"Good ribs, casual place"
6,-,MEXICAN FAST FOOD CHAIN. I PREFER Qdoba for fast food.  Neither as good as real thing.
1,-,There undercover security guy tried to accuse us of stealing groceries and called cops . It was a gallon of milk and chips that didn't get scanned .
6,-,Great Latin food hall with plenty of choices. Food is good and reasonably priced
3,-,Great small neighborhood bar. Reasonable pricing fairly decent bands. Good place to spend. A couple hours with friends.
8,-,Great beer list for a neighborhood bar.  Tons of awesome nicknacks to look at all over the place.  Great jukebox.  I like this place a lot.
8,-,"Everything is always pretty clean, and the French Market has some great food."
3,-,Fantastic Breakfast
3,-,Shopping with the family. It's gonna be an hour or so here.
6,-,THE place to buy spices in every different fashion.  Also mail order.
4,-,Good food and good drinks
4,-,Beautiful place to have a gathering
8,-,GIANT milkshakes.  Pretty good hotdog.
7,-,"Had a chicken burrito over the weekend. Food is average, I didn't pick up on much seasoning at all.If you want Mexican in that neighborhood there are a handful of other places that are better. May go back as my friends said the steak was better."
6,-,Tried the Intercontinental Hotel reboot. It was uninspiring. Wait for the one in the old crate and barrel or go to the 2 floor one in the viagra triangle
5,-,Very nice venue for concerts
8,-,"Fantastic beer line up with 50 rotating drafts, and they always have some good stuff on.  Tons of sandwiches to choose from.  Kitchen can be slow when they're busy.  Cool patio in the back."
4,-,They have my dream car in the window
